World,Depth,WMDP,Algorithm,Expanded States
1,1,WorldMDP,minimax,4
1,1,WorldMDP,alpha_beta,4
1,1,BetterValueFunction,alpha_beta,4
1,3,WorldMDP,minimax,76
1,3,WorldMDP,alpha_beta,30
1,3,BetterValueFunction,alpha_beta,28
1,5,WorldMDP,minimax,999
1,5,WorldMDP,alpha_beta,208
1,5,BetterValueFunction,alpha_beta,200
1,7,WorldMDP,minimax,12687
1,7,WorldMDP,alpha_beta,1099
1,7,BetterValueFunction,alpha_beta,1065
1,9,WorldMDP,minimax,160777
1,9,WorldMDP,alpha_beta,4624
1,9,BetterValueFunction,alpha_beta,5343
1,11,WorldMDP,minimax,2014777
1,11,WorldMDP,alpha_beta,20952
1,11,BetterValueFunction,alpha_beta,17460
1,13,WorldMDP,minimax,25177807
1,13,WorldMDP,alpha_beta,86329
1,13,BetterValueFunction,alpha_beta,65986
